1INCH/USD:USD
BTC/USD
BTC/USDT
BTT/USD:USD
BTT/USD
BYND/USD:USD-221230
BYND/USD
C98/USD:USD
C98/USD
CAD/USD
CAKE/USD:USD
CEL/USD:USD
CEL/USD:USD-221230
CEL/BTC
CEL/USD
CELO/USD:USD
CGC/USD:USD-221230
CGC/USD
CHR/USD:USD
CHR/USD
CHZ/USD:USD
CHZ/USD:USD-221230
CHZ/USD
CHZ/USDT
CITY/USD
CLV/USD:USD
CLV/USD
COIN/USD
COMP/USD:USD
COMP/USD:USD-221230
COMP/USD
COMP/USDT
CONV/USD
COPE/USD
CQT/USD
CREAM/USD:USD
CREAM/USD
CREAM/USDT
CRO/USD:USD
CRO/USD
CRON/USD:USD-221230
CRON/USD
CRV/USD:USD
CRV/USD
CUSDT/USD
CUSDT/USDT
CVC/USD:USD
CVC/USD
CVX/USD:USD
CVX/USD
DAI/USD
DAI/USDT
DASH/USD:USD
DAWN/USD:USD
DAWN/USD
DEFI/USD:USD
DEFI/USD:USD-221230
DENT/USD:USD
DENT/USD
DFL/USD
DKNG/USD:USD-221230
DKNG/USD
DMG/USD
DMG/USDT
DODO/USD:USD
DODO/USD
DOGE/USD:USD
DOGE/USD:USD-221230
DOGE/BTC
DOGE/JPY
DOGE/USD
DOGE/USDT
DOT/USD:USD
DOT/USD:USD-221230
DOT/BTC
DOT/JPY
DOT/USD
DOT/USDT
DYDX/USD:USD
DYDX/USD
EDEN/USD:USD
EDEN/USD
EGLD/USD:USD
EMB/USD
ENJ/USD:USD
ENJ/JPY
ENJ/USD
ENS/USD:USD
ENS/USD
EOS/USD:USD
EOS/USD:USD-221230
ETC/USD:USD
ETH/USD:USD
ETH/USD:USD-221230
ETH/USD:USD-230331
ETH/AUD
ETH/BRZ
ETH/BTC
ETH/EUR
ETH/JPY
ETH/TRY
ETH/USD
ETH/USDT
ETHE/USD:USD-221230
ETHE/USD
ETHW/USD:USD
ETHW/USD
EUL/USD
EUR/USD
EURT/EUR
EURT/USD
EURT/USDT
EXCH/USD:USD
EXCH/USD:USD-221230
FB/USD:USD-221230
FB/USD
FIDA/USD:USD
FIDA/USD
FIDA/USDT
FIL/USD:USD
FIL/USD:USD-221230
FLM/USD:USD
FLOW/USD:USD
FLUX/USD:USD
FRONT/USD
FRONT/USDT
FTM/USD:USD
FTM/USD:USD-221230
FTM/USD
FTT/USD:USD
FTT/BTC
FTT/JPY
FTT/USD
FTT/USDT
FTXDXY/USD:USD
FXS/USD:USD
FXS/USD
GAL/USD:USD
GAL/USD
GALA/USD:USD
GALA/USD
GALFAN/USD
GARI/USD
GBP/USD
GBTC/USD:USD-221230
GBTC/USD
GDX/USD:USD-221230
GDX/USD
GDXJ/USD:USD-221230
GDXJ/USD
GENE/USD
GLD/USD:USD-221230
GLD/USD
GLMR/USD:USD
GLXY/USD
GME/USD:USD-221230
GME/USD
GMT/USD:USD
GMT/USD:USD-221230
GMT/USD
GMX/USD
GODS/USD
GOG/USD
GOOGL/USD:USD-221230
GOOGL/USD
GRT/USD:USD
GRT/USD:USD-221230
GRT/USD
GST/USD:USD
GST/TRY
GST/USD
GST/USDT
GT/USD
HBAR/USD:USD
HBB/USD
HGET/USD
HGET/USDT
HMT/USD
HNT/USD:USD
HNT/USD
HNT/USDT
HOLY/USD:USD
HOLY/USD
HOOD/USD
HOT/USD:USD
HT/USD:USD
HT/USD
HUM/USD
HXRO/USD
HXRO/USDT
ICP/USD:USD
ICX/USD:USD
IMX/USD:USD
IMX/USD
INDI/USD
INJ/USD:USD
INTER/USD
IOST/USD:USD
IOTA/USD:USD
IP3/USD
JASMY/USD:USD
JET/USD
JOE/USD
JPY/USD:USD
JST/USD
KAVA/USD:USD
KBTT/USD:USD
KBTT/USD
KIN/USD
KLAY/USD:USD
KLUNC/USD:USD
KNC/USD:USD
KNC/USD
KNC/USDT
KSHIB/USD:USD
KSHIB/USD
KSM/USD:USD
KSOS/USD:USD
KSOS/USD
LDO/USD:USD
LDO/USD
LEO/USD:USD
LEO/USD
LINA/USD:USD
LINA/USD
LINK/USD:USD
LINK/USD:USD-221230
LINK/BTC
LINK/USD
LINK/USDT
LOOKS/USD:USD
LOOKS/USD
LRC/USD:USD
LRC/USD
LTC/USD:USD
LTC/USD:USD-221230
LTC/BTC
LTC/JPY
LTC/USD
LTC/USDT
LUA/USD
LUA/USDT
LUNA2/USD:USD
LUNC/USD:USD
MAGIC/USD
MANA/USD:USD
MANA/USD
MAPS/USD:USD
MAPS/USD
MAPS/USDT
MATH/USD
MATH/USDT
MATIC/USD:USD
MATIC/USD:USD-221230
MATIC/BTC
MATIC/USD
MBS/USD
MCB/USD
MEDIA/USD:USD
MEDIA/USD
MER/USD
MID/USD:USD
MID/USD:USD-221230
MINA/USD:USD
MKR/USD:USD
MKR/JPY
MKR/USD
MKR/USDT
MNGO/USD:USD
MNGO/USD
MOB/USD:USD
MOB/USD
MOB/USDT
MPLX/USD
MRNA/USD:USD-221230
MRNA/USD
MSOL/USD
MSTR/USD:USD-221230
MSTR/USD
MTA/USD
MTA/USDT
MTL/USD:USD
MTL/USD
MVDA10/USD:USD
MVDA25/USD:USD
MYC/USD
NEAR/USD:USD
NEAR/USD:USD-221230
NEAR/USD
NEAR/USDT
NEO/USD:USD
NEXO/USD
NFLX/USD:USD-221230
NFLX/USD
NIO/USD:USD-221230
NIO/USD
NOK/USD:USD-221230
NOK/USD
NVDA/USD:USD-221230
NVDA/USD
OKB/USD:USD
OKB/USD:USD-221230
OKB/USD
OMG/USD:USD
OMG/USD:USD-221230
OMG/JPY
OMG/USD
ONE/USD:USD
ONT/USD:USD
OP/USD:USD
OP/USD:USD-221230
ORBS/USD
ORCA/USD
OXY/USD:USD
OXY/USD
OXY/USDT
PAXG/USD:USD
PAXG/USD
PAXG/USDT
PENN/USD:USD-221230
PENN/USD
PEOPLE/USD:USD
PEOPLE/USD
PERP/USD:USD
PERP/USD
PFE/USD:USD-221230
PFE/USD
POLIS/USD:USD
POLIS/USD
PORT/USD
PRESIDENT 2024/USD:USD-241115
PRISM/USD
PRIV/USD:USD
PRIV/USD:USD-221230
PROM/USD:USD
PROM/USD
PSG/USD
PSY/USD
PTU/USD
PUNDIX/USD:USD
PUNDIX/USD
PYPL/USD:USD-221230
PYPL/USD
QI/USD
QTUM/USD:USD
RAY/USD:USD
RAY/USD
REAL/USD
REEF/USD:USD
REEF/USD
REN/USD:USD
REN/USD
RNDR/USD:USD
RNDR/USD
RON/USD:USD
ROOK/USD
ROOK/USDT
ROSE/USD:USD
RSR/USD:USD
RSR/USD
RUNE/USD:USD
RVN/USD:USD
SAND/USD:USD
SAND/USD
SC/USD:USD
SCRT/USD:USD
SECO/USD:USD
SECO/USD
SHIB/USD:USD
SHIB/USD
SHIT/USD:USD
SHIT/USD:USD-221230
SKL/USD:USD
SKL/USD
SLND/USD
SLP/USD:USD
SLP/USD
SLRS/USD
SLV/USD:USD-221230
SLV/USD
SNX/USD:USD
SNX/USD
SNY/USD
SOL/USD:USD
SOL/USD:USD-221230
SOL/BTC
SOL/JPY
SOL/TRY
SOL/USD
SOL/USDT
SOS/USD:USD
SOS/USD
SPA/USD
SPELL/USD:USD
SPELL/USD
SPY/USD:USD-221230
SPY/USD
SQ/USD:USD-221230
SQ/USD
SRM/USD:USD
SRM/USD
SRM/USDT
StarLaunch/USD
STEP/USD:USD
STEP/USD
STETH/USD
STG/USD:USD
STG/USD
STMX/USD:USD
STMX/USD
STORJ/USD:USD
STORJ/USD
STSOL/USD
STX/USD:USD
SUN/USD
SUSHI/USD:USD
SUSHI/USD:USD-221230
SUSHI/BTC
SUSHI/USD
SUSHI/USDT
SWEAT/USD
SXP/USD:USD
SXP/USD:USD-221230
SXP/BTC
SXP/USD
SXP/USDT
SYN/USD
THETA/USD:USD
TLM/USD:USD
TLM/USD
TLRY/USD:USD-221230
TLRY/USD
TOMO/USD:USD
TOMO/USD
TOMO/USDT
TONCOIN/USD:USD
TONCOIN/USD
TRU/USD:USD
TRU/USD
TRU/USDT
TRX/USD:USD
TRX/USD:USD-221230
TRX/BTC
TRX/TRY
TRX/USD
TRX/USDT
TRYB/USD:USD
TRYB/USD
TSLA/USD:USD-221230
TSLA/BTC
TSLA/DOGE
TSLA/USD
TSM/USD:USD-221230
TSM/USD
TULIP/USD
UBER/USD:USD-221230
UBER/USD
UBXT/USD
UBXT/USDT
UMEE/USD
UNI/USD:USD
UNI/USD:USD-221230
UNI/BTC
UNI/USD
UNI/USDT
UNISWAP/USD:USD
UNISWAP/USD:USD-221230
USD/JPY
USD/TRY
USDT/USD:USD
USDT/USD:USD-221230
USDT/TRY
USDT/USD
USO/USD:USD-221230
USO/USD
USTC/USD:USD
VET/USD:USD
VGX/USD
WAVES/USD:USD
WAVES/USD:USD-221230
WAVES/USD
WAXL/USD
WBTC/BTC
WBTC/USD
WFLOW/USD
WNDR/USD
WRX/USD
WRX/USDT
WSB/USD:USD-221230
XAUT/USD:USD
XAUT/USD
XAUT/USDT
XEM/USD:USD
XLM/USD:USD
XMR/USD:USD
XPLA/USD
XRP/USD:USD
XRP/USD:USD-221230
XRP/BTC
XRP/JPY
XRP/USD
XRP/USDT
XTZ/USD:USD
XTZ/USD:USD-221230
YFI/USD:USD
YFI/USD:USD-221230
YFI/BTC
YFI/USD
YFI/USDT
YFII/USD:USD
YFII/USD
YGG/USD
ZEC/USD:USD
ZIL/USD:USD
ZM/USD:USD-221230
ZM/USD
ZRX/USD:USD
ZRX/USD
ADABEAR/USD
ADABULL/USD
ADAHALF/USD
ADAHEDGE/USD
ALGOBEAR/USD
ALGOBULL/USD
ALGOHALF/USD
ALGOHEDGE/USD
ALTBEAR/USD
ALTBULL/USD
ALTHALF/USD
ALTHEDGE/USD
ASDBEAR/USD
ASDBEAR/USDT
ASDBULL/USD
ASDBULL/USDT
ASDHALF/USD
ASDHEDGE/USD
ATOMBEAR/USD
ATOMBULL/USD
ATOMHALF/USD
ATOMHEDGE/USD
BALBEAR/USD
BALBEAR/USDT
BALBULL/USD
BALBULL/USDT
BALHALF/USD
BALHEDGE/USD
BCHBEAR/USD
BCHBEAR/USDT
BCHBULL/USD
BCHBULL/USDT
BCHHALF/USD
BCHHEDGE/USD
BEAR/USD
BEAR/USDT
BEARSHIT/USD
BNBBEAR/USD
BNBBEAR/USDT
BNBBULL/USD
BNBBULL/USDT
BNBHALF/USD
BNBHEDGE/USD
BSVBEAR/USD
BSVBEAR/USDT
BSVBULL/USD
BSVBULL/USDT
BSVHALF/USD
BSVHEDGE/USD
BULL/USD
BULL/USDT
BULLSHIT/USD
BVOL/USD
COMPBEAR/USD
COMPBEAR/USDT
COMPBULL/USD
COMPBULL/USDT
COMPHALF/USD
COMPHEDGE/USD
DEFIBEAR/USD
DEFIBEAR/USDT
DEFIBULL/USD
DEFIBULL/USDT
DEFIHALF/USD
DEFIHEDGE/USD
DOGEBEAR2021/USD
DOGEBULL/USD
DOGEHALF/USD
DOGEHEDGE/USD
EOSBEAR/USD
EOSBEAR/USDT
EOSBULL/USD
EOSBULL/USDT
EOSHALF/USD
EOSHEDGE/USD
ETCBEAR/USD
ETCBULL/USD
ETCHALF/USD
ETCHEDGE/USD
ETHBEAR/USD
ETHBEAR/USDT
ETHBULL/USD
ETHBULL/USDT
ETHHALF/USD
ETHHEDGE/USD
EXCHBEAR/USD
EXCHBULL/USD
EXCHHALF/USD
EXCHHEDGE/USD
GRTBEAR/USD
GRTBULL/USD
HALF/USD
HALFSHIT/USD
HEDGE/USD
HEDGESHIT/USD
HTBEAR/USD
HTBULL/USD
HTHALF/USD
HTHEDGE/USD
IBVOL/USD
KNCBEAR/USD
KNCBEAR/USDT
KNCBULL/USD
KNCBULL/USDT
KNCHALF/USD
KNCHEDGE/USD
LEOBEAR/USD
LEOBULL/USD
LEOHALF/USD
LEOHEDGE/USD
LINKBEAR/USD
LINKBEAR/USDT
LINKBULL/USD
LINKBULL/USDT
LINKHALF/USD
LINKHEDGE/USD
LTCBEAR/USD
LTCBEAR/USDT
LTCBULL/USD
LTCBULL/USDT
LTCHALF/USD
LTCHEDGE/USD
MATICBEAR2021/USD
MATICBULL/USD
MATICHALF/USD
MATICHEDGE/USD
MIDBEAR/USD
MIDBULL/USD
MIDHALF/USD
MIDHEDGE/USD
MKRBEAR/USD
MKRBULL/USD
OKBBEAR/USD
OKBBULL/USD
OKBHALF/USD
OKBHEDGE/USD
PAXGBEAR/USD
PAXGBULL/USD
PAXGHALF/USD
PAXGHEDGE/USD
PRIVBEAR/USD
PRIVBULL/USD
PRIVHALF/USD
PRIVHEDGE/USD
SUSHIBEAR/USD
SUSHIBULL/USD
SXPBEAR/USD
SXPBULL/USD
SXPHALF/USD
SXPHALF/USDT
SXPHEDGE/USD
THETABEAR/USD
THETABULL/USD
THETAHALF/USD
THETAHEDGE/USD
TOMOBEAR2021/USD
TOMOBULL/USD
TOMOHALF/USD
TOMOHEDGE/USD
TRXBEAR/USD
TRXBULL/USD
TRXHALF/USD
TRXHEDGE/USD
TRYBBEAR/USD
TRYBBULL/USD
TRYBHALF/USD
TRYBHEDGE/USD
UNISWAPBEAR/USD
UNISWAPBULL/USD
USDTBEAR/USD
USDTBULL/USD
USDTHALF/USD
USDTHEDGE/USD
VETBEAR/USD
VETBEAR/USDT
VETBULL/USD
VETBULL/USDT
VETHEDGE/USD
XAUTBEAR/USD
XAUTBULL/USD
XAUTHALF/USD
XAUTHEDGE/USD
XLMBEAR/USD
XLMBULL/USD
XRPBEAR/USD
XRPBEAR/USDT
XRPBULL/USD
XRPBULL/USDT
XRPHALF/USD
XRPHEDGE/USD
XTZBEAR/USD
XTZBEAR/USDT
XTZBULL/USD
XTZBULL/USDT
XTZHALF/USD
XTZHEDGE/USD
ZECBEAR/USD
ZECBULL/USD
