Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
FTX Token  FTT,$25.75,+0.07%,$47.2m,$84.5m,+1.16%,0.35%,1.79,-0.0048%,+0.0009%,$14.2k
Maker  MKR,$857.22,-2.51%,$45.9m,$26.2m,-3.63%,0.11%,0.57,-0.0073%,-0.0164%,$171.9k
Kusama  KSM,$32.94,-3.76%,$43.9m,$20.1m,-3.26%,0.08%,0.46,-0.0034%,-0.0097%,$212.0k
Stellar Lumens  XLM,$0.1092,-0.56%,$42.5m,$41.5m,-0.77%,0.17%,0.98,+0.0026%,+0.0033%,$75.0k
Automata Network  ATA,$0.1624,+4.53%,$40.6m,$4.0m,+6.96%,0.02%,0.1,-0.0213%,-0.0053%,$71.5k
Internet Computer  ICP,$5.05,-3.79%,$40.4m,$21.7m,-1.39%,0.09%,0.54,-0.0031%,+0.0111%,$105.1k
Lido DAO Token  LDO,$1.52,+2.89%,$39.7m,$22.6m,+6.94%,0.09%,0.57,+0.0007%,+0.0017%,$80.4k
Terra  LUNA,$2.32,-4.43%,$39.3m,$11.4m,-10.36%,0.05%,0.29,+0.0061%,+0.0110%,$30.3k
THORChain  RUNE,$1.49,-4.86%,$37.6m,$20.0m,-8.27%,0.08%,0.53,+0.0072%,+0.0073%,$99.8k
Balancer  BAL,$6.83,+3.53%,$37.5m,$16.6m,+17.88%,0.07%,0.44,-0.0396%,-0.0466%,$44.5k
Compound  COMP,$46.96,-3.66%,$36.8m,$25.8m,-0.21%,0.11%,0.7,-0.0092%,-0.0128%,$161.0k
Ankr  ANKR,$0.0288,-2.43%,$36.1m,$10.1m,-6.90%,0.04%,0.28,+0.0032%,+0.0027%,$52.9k
Unifi Protocol DAO  UNFI,$5.61,-3.72%,$36.0m,$10.9m,-4.39%,0.05%,0.3,+0.0059%,-0.0008%,$89.1k
Zilliqa  ZIL,$0.0298,-2.54%,$35.9m,$22.9m,-4.60%,0.09%,0.64,+0.0014%,+0.0026%,$90.9k
ETHPoW  ETHW,$6.11,-3.11%,$35.8m,$21.5m,-5.36%,0.09%,0.6,+0.0066%,+0.0046%,$107.3k
Holo  HOT,$0.0020,-5.41%,$34.9m,$7.6m,-22.34%,0.03%,0.22,+0.0062%,+0.0068%,$123.7k
The Graph  GRT,$0.0820,-1.25%,$34.2m,$20.2m,-0.78%,0.08%,0.59,-0.0088%,-0.0031%,$109.0k
Celo  CELO,$0.7047,-2.84%,$32.7m,$13.0m,-3.68%,0.05%,0.4,-0.0632%,-0.0198%,$126.1k
Tezos  XTZ,$1.39,-1.60%,$32.2m,$28.0m,+0.14%,0.12%,0.87,+0.0026%,+0.0020%,$78.1k
Flow (Dapper labs)  FLOW,$1.59,-2.57%,$32.0m,$19.7m,-4.31%,0.08%,0.62,+0.0055%,+0.0052%,$56.5k
yearn.finance  YFI,"$7,974.86",-0.31%,$31.7m,$23.6m,-5.46%,0.10%,0.74,-0.0259%,-0.0206%,$43.3k
StormX  STMX,$0.0068,-5.47%,$31.0m,$4.9m,-37.00%,0.02%,0.16,-0.0045%,-0.0064%,$99.0k
Linear  LINA,$0.0078,+0.04%,$30.8m,$7.1m,-7.59%,0.03%,0.23,+0.0012%,-0.0089%,$57.0k
Project Galaxy  GAL,$2.03,-3.29%,$30.2m,$12.9m,-6.60%,0.05%,0.43,+0.0058%,+0.0039%,$106.4k
