,info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees
604,"{'a': '1917339399', 'p': '16713.59000000', 'q': '0.00226000', 'f': '2237935412', 'l': '2237935412', 'T': '1669261679997', 'm': True, 'M': True}",1669261679997,2022-11-24T03:47:59.997Z,BTC/USDT,1917339399,,,sell,taker,16713.59,0.00226,37.7727134,,[]
605,"{'a': '1917339400', 'p': '16713.85000000', 'q': '0.00077000', 'f': '2237935413', 'l': '2237935413', 'T': '1669261679997', 'm': False, 'M': True}",1669261679997,2022-11-24T03:47:59.997Z,BTC/USDT,1917339400,,,buy,taker,16713.85,0.00077,12.8696645,,[]
606,"{'a': '1917339401', 'p': '16713.61000000', 'q': '0.00153000', 'f': '2237935414', 'l': '2237935414', 'T': '1669261680001', 'm': True, 'M': True}",1669261680001,2022-11-24T03:48:00.001Z,BTC/USDT,1917339401,,,sell,taker,16713.61,0.00153,25.5718233,,[]
607,"{'a': '1917339402', 'p': '16713.85000000', 'q': '0.00092000', 'f': '2237935415', 'l': '2237935415', 'T': '1669261680003', 'm': False, 'M': True}",1669261680003,2022-11-24T03:48:00.003Z,BTC/USDT,1917339402,,,buy,taker,16713.85,0.00092,15.376742,,[]
608,"{'a': '1917339403', 'p': '16713.85000000', 'q': '0.00085000', 'f': '2237935416', 'l': '2237935416', 'T': '1669261680003', 'm': False, 'M': True}",1669261680003,2022-11-24T03:48:00.003Z,BTC/USDT,1917339403,,,buy,taker,16713.85,0.00085,14.2067725,,[]
609,"{'a': '1917339404', 'p': '16713.61000000', 'q': '0.00119000', 'f': '2237935417', 'l': '2237935417', 'T': '1669261680003', 'm': True, 'M': True}",1669261680003,2022-11-24T03:48:00.003Z,BTC/USDT,1917339404,,,sell,taker,16713.61,0.00119,19.8891959,,[]
610,"{'a': '1917339405', 'p': '16713.61000000', 'q': '0.00027000', 'f': '2237935418', 'l': '2237935418', 'T': '1669261680004', 'm': True, 'M': True}",1669261680004,2022-11-24T03:48:00.004Z,BTC/USDT,1917339405,,,sell,taker,16713.61,0.00027,4.5126747,,[]
611,"{'a': '1917339406', 'p': '16713.59000000', 'q': '0.00100000', 'f': '2237935419', 'l': '2237935419', 'T': '1669261680004', 'm': True, 'M': True}",1669261680004,2022-11-24T03:48:00.004Z,BTC/USDT,1917339406,,,sell,taker,16713.59,0.001,16.71359,,[]
612,"{'a': '1917339407', 'p': '16713.85000000', 'q': '0.00223000', 'f': '2237935420', 'l': '2237935420', 'T': '1669261680004', 'm': False, 'M': True}",1669261680004,2022-11-24T03:48:00.004Z,BTC/USDT,1917339407,,,buy,taker,16713.85,0.00223,37.2718855,,[]
613,"{'a': '1917339408', 'p': '16713.59000000', 'q': '0.00382000', 'f': '2237935421', 'l': '2237935421', 'T': '1669261680005', 'm': True, 'M': True}",1669261680005,2022-11-24T03:48:00.005Z,BTC/USDT,1917339408,,,sell,taker,16713.59,0.00382,63.8459138,,[]
614,"{'a': '1917339409', 'p': '16713.12000000', 'q': '0.00177000', 'f': '2237935422', 'l': '2237935422', 'T': '1669261680005', 'm': True, 'M': True}",1669261680005,2022-11-24T03:48:00.005Z,BTC/USDT,1917339409,,,sell,taker,16713.12,0.00177,29.5822224,,[]
615,"{'a': '1917339410', 'p': '16713.12000000', 'q': '0.00103000', 'f': '2237935423', 'l': '2237935423', 'T': '1669261680005', 'm': True, 'M': True}",1669261680005,2022-11-24T03:48:00.005Z,BTC/USDT,1917339410,,,sell,taker,16713.12,0.00103,17.2145136,,[]
616,"{'a': '1917339411', 'p': '16713.12000000', 'q': '0.00250000', 'f': '2237935424', 'l': '2237935424', 'T': '1669261680007', 'm': True, 'M': True}",1669261680007,2022-11-24T03:48:00.007Z,BTC/USDT,1917339411,,,sell,taker,16713.12,0.0025,41.7828,,[]
617,"{'a': '1917339412', 'p': '16713.12000000', 'q': '0.00112000', 'f': '2237935425', 'l': '2237935425', 'T': '1669261680007', 'm': True, 'M': True}",1669261680007,2022-11-24T03:48:00.007Z,BTC/USDT,1917339412,,,sell,taker,16713.12,0.00112,18.7186944,,[]
618,"{'a': '1917339413', 'p': '16713.12000000', 'q': '0.00113000', 'f': '2237935426', 'l': '2237935426', 'T': '1669261680008', 'm': True, 'M': True}",1669261680008,2022-11-24T03:48:00.008Z,BTC/USDT,1917339413,,,sell,taker,16713.12,0.00113,18.8858256,,[]
619,"{'a': '1917339414', 'p': '16713.85000000', 'q': '0.00142000', 'f': '2237935427', 'l': '2237935427', 'T': '1669261680009', 'm': False, 'M': True}",1669261680009,2022-11-24T03:48:00.009Z,BTC/USDT,1917339414,,,buy,taker,16713.85,0.00142,23.733667,,[]
620,"{'a': '1917339415', 'p': '16713.85000000', 'q': '0.00281000', 'f': '2237935428', 'l': '2237935428', 'T': '1669261680009', 'm': False, 'M': True}",1669261680009,2022-11-24T03:48:00.009Z,BTC/USDT,1917339415,,,buy,taker,16713.85,0.00281,46.9659185,,[]
621,"{'a': '1917339416', 'p': '16713.85000000', 'q': '0.00202000', 'f': '2237935429', 'l': '2237935429', 'T': '1669261680013', 'm': False, 'M': True}",1669261680013,2022-11-24T03:48:00.013Z,BTC/USDT,1917339416,,,buy,taker,16713.85,0.00202,33.761977,,[]
622,"{'a': '1917339417', 'p': '16713.59000000', 'q': '0.00152000', 'f': '2237935430', 'l': '2237935430', 'T': '1669261680013', 'm': True, 'M': True}",1669261680013,2022-11-24T03:48:00.013Z,BTC/USDT,1917339417,,,sell,taker,16713.59,0.00152,25.4046568,,[]
623,"{'a': '1917339418', 'p': '16713.85000000', 'q': '0.00075000', 'f': '2237935431', 'l': '2237935431', 'T': '1669261680014', 'm': False, 'M': True}",1669261680014,2022-11-24T03:48:00.014Z,BTC/USDT,1917339418,,,buy,taker,16713.85,0.00075,12.5353875,,[]
624,"{'a': '1917339419', 'p': '16713.59000000', 'q': '0.00356000', 'f': '2237935432', 'l': '2237935432', 'T': '1669261680014', 'm': True, 'M': True}",1669261680014,2022-11-24T03:48:00.014Z,BTC/USDT,1917339419,,,sell,taker,16713.59,0.00356,59.5003804,,[]
625,"{'a': '1917339420', 'p': '16713.59000000', 'q': '0.00193000', 'f': '2237935433', 'l': '2237935433', 'T': '1669261680016', 'm': True, 'M': True}",1669261680016,2022-11-24T03:48:00.016Z,BTC/USDT,1917339420,,,sell,taker,16713.59,0.00193,32.2572287,,[]
626,"{'a': '1917339421', 'p': '16713.90000000', 'q': '0.00073000', 'f': '2237935434', 'l': '2237935434', 'T': '1669261680019', 'm': False, 'M': True}",1669261680019,2022-11-24T03:48:00.019Z,BTC/USDT,1917339421,,,buy,taker,16713.9,0.00073,12.201147,,[]
627,"{'a': '1917339422', 'p': '16713.59000000', 'q': '0.00109000', 'f': '2237935435', 'l': '2237935435', 'T': '1669261680022', 'm': True, 'M': True}",1669261680022,2022-11-24T03:48:00.022Z,BTC/USDT,1917339422,,,sell,taker,16713.59,0.00109,18.2178131,,[]
628,"{'a': '1917339423', 'p': '16713.59000000', 'q': '0.00074000', 'f': '2237935436', 'l': '2237935436', 'T': '1669261680023', 'm': True, 'M': True}",1669261680023,2022-11-24T03:48:00.023Z,BTC/USDT,1917339423,,,sell,taker,16713.59,0.00074,12.3680566,,[]
629,"{'a': '1917339424', 'p': '16713.89000000', 'q': '0.00151000', 'f': '2237935437', 'l': '2237935437', 'T': '1669261680024', 'm': False, 'M': True}",1669261680024,2022-11-24T03:48:00.024Z,BTC/USDT,1917339424,,,buy,taker,16713.89,0.00151,25.2379739,,[]
630,"{'a': '1917339425', 'p': '16713.59000000', 'q': '0.00038000', 'f': '2237935438', 'l': '2237935438', 'T': '1669261680025', 'm': True, 'M': True}",1669261680025,2022-11-24T03:48:00.025Z,BTC/USDT,1917339425,,,sell,taker,16713.59,0.00038,6.3511642,,[]
631,"{'a': '1917339426', 'p': '16713.12000000', 'q': '0.00116000', 'f': '2237935439', 'l': '2237935439', 'T': '1669261680025', 'm': True, 'M': True}",1669261680025,2022-11-24T03:48:00.025Z,BTC/USDT,1917339426,,,sell,taker,16713.12,0.00116,19.3872192,,[]
632,"{'a': '1917339427', 'p': '16713.13000000', 'q': '0.00078000', 'f': '2237935440', 'l': '2237935440', 'T': '1669261680027', 'm': True, 'M': True}",1669261680027,2022-11-24T03:48:00.027Z,BTC/USDT,1917339427,,,sell,taker,16713.13,0.00078,13.0362414,,[]
633,"{'a': '1917339428', 'p': '16713.90000000', 'q': '0.00174000', 'f': '2237935441', 'l': '2237935441', 'T': '1669261680028', 'm': False, 'M': True}",1669261680028,2022-11-24T03:48:00.028Z,BTC/USDT,1917339428,,,buy,taker,16713.9,0.00174,29.082186,,[]
634,"{'a': '1917339429', 'p': '16713.84000000', 'q': '0.00088000', 'f': '2237935442', 'l': '2237935442', 'T': '1669261680030', 'm': False, 'M': True}",1669261680030,2022-11-24T03:48:00.030Z,BTC/USDT,1917339429,,,buy,taker,16713.84,0.00088,14.7081792,,[]
635,"{'a': '1917339430', 'p': '16713.59000000', 'q': '0.00362000', 'f': '2237935443', 'l': '2237935443', 'T': '1669261680033', 'm': True, 'M': True}",1669261680033,2022-11-24T03:48:00.033Z,BTC/USDT,1917339430,,,sell,taker,16713.59,0.00362,60.5031958,,[]
636,"{'a': '1917339431', 'p': '16713.59000000', 'q': '0.00067000', 'f': '2237935444', 'l': '2237935444', 'T': '1669261680033', 'm': True, 'M': True}",1669261680033,2022-11-24T03:48:00.033Z,BTC/USDT,1917339431,,,sell,taker,16713.59,0.00067,11.1981053,,[]
637,"{'a': '1917339432', 'p': '16713.13000000', 'q': '0.00273000', 'f': '2237935445', 'l': '2237935445', 'T': '1669261680033', 'm': True, 'M': True}",1669261680033,2022-11-24T03:48:00.033Z,BTC/USDT,1917339432,,,sell,taker,16713.13,0.00273,45.6268449,,[]
638,"{'a': '1917339433', 'p': '16713.84000000', 'q': '0.00203000', 'f': '2237935446', 'l': '2237935446', 'T': '1669261680036', 'm': False, 'M': True}",1669261680036,2022-11-24T03:48:00.036Z,BTC/USDT,1917339433,,,buy,taker,16713.84,0.00203,33.9290952,,[]
639,"{'a': '1917339434', 'p': '16713.13000000', 'q': '0.00145000', 'f': '2237935447', 'l': '2237935447', 'T': '1669261680047', 'm': True, 'M': True}",1669261680047,2022-11-24T03:48:00.047Z,BTC/USDT,1917339434,,,sell,taker,16713.13,0.00145,24.2340385,,[]
640,"{'a': '1917339435', 'p': '16713.14000000', 'q': '0.00081000', 'f': '2237935448', 'l': '2237935448', 'T': '1669261680109', 'm': True, 'M': True}",1669261680109,2022-11-24T03:48:00.109Z,BTC/USDT,1917339435,,,sell,taker,16713.14,0.00081,13.5376434,,[]
641,"{'a': '1917339436', 'p': '16713.43000000', 'q': '0.00268000', 'f': '2237935449', 'l': '2237935449', 'T': '1669261680214', 'm': False, 'M': True}",1669261680214,2022-11-24T03:48:00.214Z,BTC/USDT,1917339436,,,buy,taker,16713.43,0.00268,44.7919924,,[]
642,"{'a': '1917339437', 'p': '16713.59000000', 'q': '0.00100000', 'f': '2237935450', 'l': '2237935450', 'T': '1669261680519', 'm': False, 'M': True}",1669261680519,2022-11-24T03:48:00.519Z,BTC/USDT,1917339437,,,buy,taker,16713.59,0.001,16.71359,,[]
